general.assists,general.banRate,general.deaths,general.experience,general.goldEarned,general.kills,general.largestKillingSpree,general.minionsKilled,general.neutralMinionsKilledEnemyJungle,general.neutralMinionsKilledTeamJungle,general.overallPosition,general.overallPositionChange,general.playPercent,general.totalDamageDealtToChampions,general.totalDamageTaken,general.totalHeal,general.winPercent,key,role,title
13.053362255965293,0.01285848633051719,5.934766318280418,3.4550973387727493,8310,2.343758627489647,4,17.235417077499505,0.09130349043581147,0.12841648590021693,10,-3.0,0.11755778398206612,8251,18580,1936,0.4912640504831394,412,Support,Thresh
7.345261485723841,0.01735277458161623,5.976840433092262,3.4948319826875203,10479,6.3518665607625096,10,30.089377534384013,8.477153965135237,65.079469921826,4,1.0,0.11090908107414726,12980,26629,7005,0.46866769783871914,64,Jungle,Lee Sin
7.690672645739911,0.010481520948746104,5.312556053811659,3.354943325948046,12013,6.323363228699551,9,156.18152466367712,1.3839910313901345,4.691390134529148,7,1.0,0.10339335763360578,23219,17185,2576,0.48295964125560537,81,ADC,Ezreal
6.031034327213677,0.028838864774933987,6.290134873020885,3.6585481808284563,12030,7.9864675898777575,9,152.84600117280888,2.0008570526410754,6.2932924353827415,2,0.0,0.10278597961342631,19232,21260,4245,0.509810997338626,67,ADC,Vayne
7.6441753451198835,0.005522812608425863,5.819714216517316,4.055189835728475,12340,7.405085977234197,9,167.58595301525793,2.227900217970453,6.729571324775975,1,2.0,0.09571999409622382,20144,18364,3307,0.5357713732138533,222,ADC,Jinx
4.559884989093794,0.03666600468129268,6.578524687685901,2.985666826063977,11568,7.973725956771763,11,39.56057902042435,9.671078722982351,72.19918699186992,1,0.0,0.09352694216076662,16169,27517,9627,0.5305869522109855,11,Jungle,Master Yi
12.243388210302708,0.02613502801589074,5.757620817843867,3.3864419628829783,8894,2.8348380244291027,6,28.86250663834307,0.2564524694636219,0.4467870419543282,1,2.0,0.08730479480900434,12948,17027,3722,0.50493892724376,25,Support,Morgana
10.44346644933442,0.009866415472839151,5.862048356424885,4.296979683088113,9136,4.2303721814724256,7,40.88687856560717,0.3628361858190709,0.7707688128226026,5,0.0,0.08533429359849841,16625,12914,1068,0.5125781037761478,99,Support,Lux
8.117993117993118,0.008471609714030047,6.100677100677101,4.129703771314774,11907,7.546675546675547,10,153.494005994006,1.2916527916527916,3.7092907092907095,4,0.0,0.08353997837857888,21557,19294,3014,0.5284715284715285,21,ADC,Miss Fortune
7.170421981232792,0.012132878237707357,5.806147103444401,3.5149813271459434,11866,6.401921672191943,8,165.42591447996853,1.6406135865595326,5.606281957633309,11,1.0,0.08251531774911579,20207,17573,3453,0.4895768949823004,51,ADC,Caitlyn
5.639602367407918,0.05958100189554489,6.5184163649945415,2.733305377922214,12182,9.471757742917887,9,151.48865138194563,1.72464517611906,3.419927598689881,1,1.0,0.08068854721514088,22843,21681,3333,0.4953168993851635,238,Middle,Zed
6.7294498756290855,0.010139194660018993,5.998958755133915,2.2361938148290434,10876,6.695782958292359,10,34.53641464684445,9.402730375426621,70.71290565164574,3,1.0,0.08015071629650866,15743,30634,12957,0.5109619945623879,141,Jungle,Kayn
7.184001444564825,0.02093831403916429,5.63187673046828,3.0421924626284778,12135,7.341699771277236,9,165.6155049957867,2.2406404237390154,6.7285421933309255,6,-5.0,0.07703036967375455,19660,21683,3580,0.4865173949680992,236,ADC,Lucian
5.548994038748137,0.0685309411191056,7.302471435668157,3.9043233238135824,12238,7.667101341281669,8,168.54017635370096,4.280054644808743,6.140958768007948,2,-1.0,0.07466576822114743,20131,23276,4269,0.5141579731743666,157,Middle,Yasuo
6.5017804909067785,0.0060892351132497274,5.930942388401373,,12242,7.544512272669465,9,166.42223070075036,2.2472338801983978,7.186887956250795,14,1.0,0.07291318126215626,18368,19206,3876,0.462482513035737,145,ADC,Kai'Sa
12.457605009131228,0.014079424335458127,5.872945473519437,3.6981759975705275,7900,2.1931907122358467,4,45.405165666579705,0.08068092877641533,0.10324810853117662,11,1.0,0.07108641072818134,7394,20588,3307,0.5168927732846335,89,Support,Leona
11.616246315099902,0.029726749438020783,5.558794628234524,2.797231836302845,7902,2.535997379626597,5,41.451883393383554,0.17569603668522765,0.19764166393711105,4,0.0,0.07077576700793688,9441,21138,3171,0.5249263019980347,53,Support,Blitzcrank
8.42598516300279,0.028029800160267432,6.158987272851017,,9087,6.093445858572109,7,43.39774042060845,0.35098346151228477,0.4845164363982849,2,0.0,0.0681237042022677,10026,20816,7172,0.49676716803920234,555,Support,Pyke
5.5470959769325825,0.03254263430511241,5.830495674859261,2.9944237407005048,10965,6.5137306055197035,9,42.13311822051352,8.695935740766167,64.93100370726349,2,1.0,0.06753487207583417,14288,25692,8553,0.5326101881092956,24,Jungle,Jax
8.25387712496272,0.003908547106956487,5.667312854160453,3.529708464193366,12001,7.198478974053087,9,161.37727408291082,1.4671189979123174,4.240829108261258,9,1.0,0.06218438173013097,20405,18255,4103,0.4933641515061139,202,ADC,Jhin
5.420716702553061,0.02744174077940664,5.4164872346970165,2.4337075848303393,11598,5.7339280221470315,8,160.8187480775146,2.4020301445709014,4.320747462319287,1,0.0,0.060292700568045275,19264,33227,1523,0.5349123346662565,75,Top,Nasus
6.49957427045437,0.0025168323304383708,5.812291973062931,2.5933066848755937,12221,7.831720721418066,10,157.6478055577057,2.3808344299094357,6.560337487421627,10,3.0,0.05989860032594409,18641,19395,3374,0.4962458394612586,18,ADC,Tristana
8.45642719072165,0.0036280404640491714,5.28503543814433,1.9324979072068187,12428,6.25354381443299,8,186.02319587628867,2.478334407216495,6.866623711340206,5,1.0,0.05756645418739235,20219,18107,3882,0.5285921391752577,15,ADC,Sivir
5.081769882118546,0.013465091605123922,4.937240577785157,2.8206715293978677,11214,6.280259007139299,7,149.31603851901045,1.5968786319110078,1.9238751452764402,3,0.0,0.05585095901589306,17913,31236,1944,0.5211688527311971,86,Top,Garen
8.908229969829032,0.0011088898968925583,6.213040563191418,2.8822957721028137,11665,6.412755615152531,9,150.8897921555481,1.9080623533355683,5.712872946697955,15,-1.0,0.05532240104413382,18995,18595,2990,0.5238015420717399,22,ADC,Ashe
5.329377104377104,0.00763549900431733,5.766077441077441,2.5321082191510236,10780,7.468686868686869,8,28.532239057239057,9.654377104377105,69.81119528619529,11,-1.0,0.05508130442543662,15148,27630,11680,0.48594276094276095,121,Jungle,Kha'Zix
6.674842445920627,0.0064470163134317865,5.975557826605348,3.2761717337569576,10315,5.596235734968489,8,31.908107647760175,8.502469766649634,64.51660705160961,16,-4.0,0.05444147109120175,13583,28687,12611,0.5059615057060126,5,Jungle,Xin Zhao
7.5695885200553255,0.007701955123573608,5.540629322268327,2.9144669232780585,10998,6.860563623789765,8,143.05082987551867,0.9622233748271093,3.2479253112033195,7,0.0,0.05363472471325344,21243,19531,3804,0.5203146611341632,103,Middle,Ahri
5.053300388280975,0.008381198482018596,5.97652665019414,3.2447539236948093,11568,6.991351923755736,8,156.0939816448994,2.8586304271090714,4.356953759265796,9,14.0,0.05254051698224308,17145,23735,4293,0.492057889163431,92,Top,Riven
4.929658467527871,0.04712897973629285,6.2127941957175725,2.4719145258857727,11355,6.723854185099983,8,155.2879136436029,1.3420633516191824,1.9379755795434437,4,1.0,0.05240142277914855,17557,30302,5217,0.4830118563086179,122,Top,Darius
13.056055425589348,0.003245531405539195,5.3544178513586465,2.8002696438300507,7810,1.2791074320676623,5,14.926579089436746,0.06559294583408314,0.12875652330394097,12,-2.0,0.051529765773089445,7498,13579,17398,0.5099874032751485,16,Support,Soraka
13.94971965997468,0.0014906262098297873,5.100018086453247,3.602618256359288,8213,1.9409477301501175,4,12.399077590884428,0.08102731054440224,0.10535359016096943,9,0.0,0.05127012326064631,9150,14391,10390,0.5222463374932176,267,Support,Nami
10.685064935064934,0.0022340074508128125,5.43659281894576,2.351780661527954,10764,5.783135981665393,7,34.54564553093965,7.5782085561497325,66.57734912146677,5,3.0,0.04855314982686636,12956,25923,7778,0.5213903743315508,59,Jungle,Jarvan IV
4.918471337579618,0.019982427765675725,5.420774130328271,3.271405961487734,12054,5.586379225869671,8,173.9667809897109,2.161783439490446,2.4363547280744733,2,2.0,0.04731521141932498,21275,27378,7006,0.5651151396374327,83,Top,Yorick
12.994567445674457,0.0015346727074763908,5.822775727757278,3.6955999145268708,8595,2.736982369823698,5,16.515272652726527,0.18716687166871668,0.32779827798277983,8,-2.0,0.04523343484634341,11874,15769,10120,0.5292127921279213,37,Support,Sona
6.981076223702294,0.003191439215446875,6.13775240511682,2.6347537853676646,10425,6.171054022623956,8,32.381118511470554,7.675864256263876,61.80272756105297,22,-4.0,0.04385640223570749,11991,32932,14874,0.5045987947986045,19,Jungle,Warwick
9.03421247749179,0.009866415472839151,5.421989196059739,4.045004878410256,10861,6.771210676835081,9,137.01599406842496,0.7550047664442326,2.7612541044380894,3,2.0,0.04377294571385077,22401,14815,1186,0.5320410973413833,99,Middle,Lux
5.8231918579471635,0.016413115965155357,6.4061281940233865,3.3142878817572052,11378,5.857947163274145,8,154.06572109138156,1.801645734084019,2.8815504547423125,7,0.0,0.042822468659371435,25178,21188,3111,0.5144001732351667,17,Top,Teemo
12.040317176680814,0.00438533112534165,5.6831583649765465,2.412203424622385,7496,1.8544784453875363,4,40.984364529819075,0.06511056511056511,0.11034174670538308,22,0.0,0.04151498315028279,7385,22246,8670,0.49430422157694887,12,Support,Alistar
8.84092970521542,0.02430671199077033,7.158163265306122,3.692176465193066,9630,5.176643990929705,9,38.3718820861678,0.7069160997732427,1.5794784580498866,3,-2.0,0.040893695709793856,20784,17639,1679,0.5193877551020408,63,Support,Brand
6.656157185286726,0.02831030680317475,6.552547406899703,3.3313268178801128,12805,7.912154443682888,9,157.36840301576422,2.1635823623486408,5.676604980580306,3,2.0,0.040587688462985876,21294,19860,2641,0.5015992689056431,119,ADC,Draven
6.5816828849456215,0.007990961967781146,6.119061247853463,2.7362979229572697,11664,7.884716657126503,10,151.26445334859758,1.3321121923297081,4.2477389811104755,4,0.0,0.04049959546769267,22295,17967,1578,0.5300515168860904,45,Middle,Veigar
5.908456634187417,0.005780909629723504,7.18669553711055,3.021982777918725,11630,9.709852038975098,9,135.01563815710333,1.1616744857452184,2.297726452544208,12,1.0,0.03854300367749618,21716,24411,5791,0.493323709852039,55,Middle,Katarina
