general.assists,general.banRate,general.deaths,general.experience,general.goldEarned,general.kills,general.largestKillingSpree,general.minionsKilled,general.neutralMinionsKilledEnemyJungle,general.neutralMinionsKilledTeamJungle,general.overallPosition,general.overallPositionChange,general.playPercent,general.totalDamageDealtToChampions,general.totalDamageTaken,general.totalHeal,general.winPercent,key,role,title
12.770886003763758,0.02202276268951266,5.518695230672725,10.618539868530172,7960,2.083772121580778,4,16.196627825194366,0.060334176060220124,0.06143669093466649,2,-1.0,0.1629811460655824,7357,16713,1834,0.4952953029064573,412,Support,Thresh
7.58260599196038,0.013781847059759031,5.177426877207009,8.02309599159886,12297,6.184000710684701,8,172.55724343171875,1.5248850689586249,6.059364381371178,7,-1.0,0.13949763460936718,23492,16591,2398,0.47780220756435027,81,ADC,Ezreal
7.597031372989992,0.014274959492491782,5.449342179242101,11.93326860841424,10546,6.231507927583492,9,29.211312268076014,9.267086472506465,67.83216012594175,4,-1.0,0.137756508825938,12578,25780,6757,0.4823793995277184,64,Jungle,Lee Sin
5.937687707294142,0.02778727284556338,5.831344180094539,8.222463073930342,12124,7.492152202867515,8,169.4852054007469,1.8799195633438668,7.517275600010446,2,3.0,0.11862890991687827,18862,20228,4103,0.5182941161108354,67,ADC,Vayne
7.151612158966373,0.029314114168695053,5.175520562957836,9.620543484043564,12277,6.891936321162831,10,181.7069850608525,2.3345446155620926,8.065207359981542,1,0.0,0.10742312351356291,19782,20662,3332,0.4978946761262041,236,ADC,Lucian
13.657677333586554,0.0024862160875478525,4.817111385433482,8.845833992162426,7929,1.854904567467477,5,11.020859051055613,0.05953850536511252,0.061089481847244644,4,0.0,0.09787791259052872,8087,12865,10221,0.5233437786851518,267,Support,Nami
6.412445824438838,0.004647649222018322,5.464810142958794,,12430,7.327834918170645,9,182.29820816352932,2.2969144187851738,8.99081441231645,11,2.0,0.09578670279726417,18637,18283,3663,0.4721844880005175,145,ADC,Kai'Sa
7.0178043606774,0.009834882205508608,5.569148381263692,8.80488436724041,12101,6.1660813019438745,8,182.2611190318879,1.7629446743401607,7.260632193900616,12,-4.0,0.089091733370235,20184,17023,3361,0.4872900511179887,51,ADC,Caitlyn
10.805012646585421,0.0031125463293330126,5.204453130987966,5.50554715298602,10607,5.445351421782785,8,32.46374645512378,8.014792672645052,68.37184793439104,9,-4.0,0.08084152347473353,12237,25108,7691,0.5142561508392735,59,Jungle,Jarvan IV
7.41494695114842,0.0020839809199051157,5.531149197466092,6.068704360525767,12487,7.005207726089153,8,184.2838599354864,2.373984687730753,9.225836539582605,5,-1.0,0.0797169173192446,20042,17493,3149,0.5302164704053476,222,ADC,Jinx
12.231300051116033,0.026427211957795772,5.4428352359856875,5.623648978926787,8422,2.449863690577611,5,22.220650877491906,0.19500766740500938,0.2655903901857216,1,2.0,0.0727307275654497,11151,15325,3127,0.5029391719202589,25,Support,Morgana
5.407882158686017,0.015410408958019867,5.187364213087686,7.247678248594567,10908,7.42130876857565,8,29.13174589380377,10.62079603719475,73.56656817589294,3,-1.0,0.07129941064028196,15458,27039,12123,0.507082645346311,121,Jungle,Kha'Zix
6.77888986013986,0.010419388251428477,5.5754807692307695,4.802165616401882,10911,6.3559877622377625,9,34.038767482517486,10.219580419580419,75.29912587412588,5,-1.0,0.07088426677021167,15266,31109,13939,0.5038461538461538,141,Jungle,Kayn
8.260501981505945,0.0034719246049162533,4.94332892998679,3.5758571135290493,12591,5.979480405107882,9,202.9463672391017,2.35997357992074,8.280933509467195,4,-2.0,0.07035759171116726,19960,17209,3587,0.5202994275649494,15,ADC,Sivir
6.664817608946481,0.020155647970390534,5.348184964941866,5.129162333665825,11114,7.287432324487441,8,27.450563592793113,9.732448744119996,72.92304961391675,2,30.0,0.06981232812062717,14319,28590,12249,0.503195171740481,421,Jungle,Rek'Sai
4.705921757770632,0.01981537457440008,5.540952125759199,11.714135003640695,11878,6.622275812790282,8,176.4033583422651,3.018131475526974,4.333869239013934,1,5.0,0.06937239954189596,17029,23224,4654,0.5198731689889247,92,Top,Riven
5.350729745605712,0.05575371848082128,6.047535131715693,6.70236199656951,12260,8.74551534047264,9,170.40436491798835,1.7469160905517147,3.9224165198138357,1,1.0,0.06856379842183367,21888,20520,3008,0.5122226740770864,238,Middle,Zed
12.723221549308505,0.00611665955827453,4.877926421404682,7.711348771578084,7772,1.6700262135044743,4,14.845159540811714,0.08474193256801953,0.10164512338425381,17,0.0,0.0685483079789206,6240,12442,1661,0.49322064539455845,117,Support,Lulu
8.382982923699537,0.024202268007381712,5.717402033362945,,8876,5.764633303721252,8,43.8326917382292,0.22016582765768433,0.23280031586220512,3,-1.0,0.06277347086092783,9217,19553,6809,0.4882538742473596,555,Support,Pyke
