general.assists,general.banRate,general.deaths,general.experience,general.goldEarned,general.kills,general.largestKillingSpree,general.minionsKilled,general.neutralMinionsKilledEnemyJungle,general.neutralMinionsKilledTeamJungle,general.overallPosition,general.overallPositionChange,general.playPercent,general.totalDamageDealtToChampions,general.totalDamageTaken,general.totalHeal,general.winPercent,key,role,title
13.710370558474791,0.01171566206650784,5.938526751704335,3.9612995069629595,8439,2.347742855468521,5,17.2406579024476,0.0779598773269783,0.09552087199421797,5,2.0,0.1389083350970592,8249,18668,1982,0.5027445158517766,412,Support,Thresh
8.006020578700442,0.009496985385496204,5.2308559692326275,3.434867839261877,12413,6.331494271389163,10,166.08094557316312,1.482894710347744,5.592855848418339,6,3.0,0.13475679577139943,24237,17563,2664,0.4854318104021102,81,ADC,Ezreal
7.921371334911673,0.019367518862821925,5.951329448187944,3.941489459860121,10943,6.587415771262065,9,31.47928428337279,8.762087962119832,68.8416955017301,5,-2.0,0.11919530686116493,13574,27739,7266,0.4862729921690038,64,Jungle,Lee Sin
7.602574138883773,0.027634418522196717,5.467558482225088,3.244384518381996,12533,7.370671394363603,11,175.3828513538405,2.349557929637134,7.498480383127648,1,0.0,0.11784944836082033,20541,22310,3815,0.4973291582243507,236,ADC,Lucian
6.248333646263612,0.026232030346938443,6.2205923770184,3.761083819702173,12310,7.767132932782576,10,162.3444658280135,2.009012392039054,7.198671610965077,2,0.0,0.11561358665863493,19591,21716,4412,0.5121808111152835,67,ADC,Vayne
6.757428527591674,0.009905355757072541,5.723111542985731,,12721,7.857592185342403,10,175.37096609215976,2.3267529279394465,8.193192860430624,8,-2.0,0.10611117442434702,19378,19397,4276,0.48828824221347106,145,ADC,Kai'Sa
7.081838282627557,0.014026142939579274,6.192588653474768,2.258611507573014,11344,7.056088891376753,11,36.007165048000225,9.349324078479667,75.39950740294998,1,6.0,0.0969479402395411,16570,31723,13254,0.5114612779534832,141,Jungle,Kayn
8.640907292628247,0.0035233815780190917,5.540353422128446,3.4839863933861523,12337,7.214229196887775,9,170.68386522484505,1.4723064750098906,5.060793881049716,10,-5.0,0.08230358877510596,21390,18490,4512,0.4953184755373863,202,ADC,Jhin
12.713385385665768,0.02354121782104785,5.756521130212527,3.3617407602647456,8978,2.7500787787542453,6,26.980532894506496,0.26417142256923776,0.43013199817933545,3,1.0,0.07749811417004487,12898,17090,3683,0.5032036693393088,25,Support,Morgana
7.388768141344738,0.006465185860526368,5.79734277501227,3.5520117470810644,12068,6.161361564888172,9,173.46361214330787,1.643342915235224,6.268597069340251,15,0.0,0.07740314431618991,20457,18009,3788,0.4851714225618734,51,ADC,Caitlyn
12.64095849625139,0.010901182510351715,5.958890841912688,3.650581907195465,9070,2.147863830397819,5,46.96283674713922,0.06905334146428956,0.08038885102414177,14,0.0,0.07564213188327934,7313,20871,3401,0.49822434264806115,89,Support,Leona
7.209817661518142,0.009654364000455854,5.9448582015629015,2.9339108372598766,10735,5.727739663205782,9,32.6781010382654,8.706644164801702,69.17778919176725,9,3.0,0.07395980875784858,14230,29894,13316,0.5070257181641413,5,Jungle,Xin Zhao
